AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR
1,34,2796,0,15,1,49,118,2206,7,0,246
0,35,1578,0,42,0,9,32,1958,1,164,1402
0,6,60,0,5,0,1,3,67,0,0,254
2,165,6013,0,107,1,9,330,7112,0,0,828
0,0,698,0,0,0,1,0,678,0,0,1073
0,0,473,0,0,0,1,0,394,0,0,48
1,7,2440,0,34,0,5,31,3208,2,86,2280
1,0,682,0,4,2,7,0,538,0,0,24
2,3,388,0,1,0,4,20,726,0,0,97
4,66,6088,0,90,7,46,70,4942,2,2,4631
1,9,1620,0,55,1,1,55,3283,0,50,134
0,13,1022,0,13,2,5,0,536,1,0,80
2,10,3421,0,5,1,2,31,1752,1,1,893
0,8,1632,0,10,5,3,26,910,0,88,161
0,1,317,0,1,0,2,20,255,1,0,267
5,18,2969,0,29,3,32,66,2269,3,60,2148
2,9,1430,0,1,1,8,10,946,0,48,117
7,37,8148,0,23,2,2,21,4655,1,0,2862
2,24,1926,0,7,3,7,0,787,0,0,107
0,11,1659,0,3,0,0,7,1153,0,0,928
5,73,3007,0,52,2,20,32,4674,9,35,3077
0,94,4768,0,160,5,1,116,6235,0,0,361
2,7,566,0,0,0,1,3,669,0,0,97
5,1,1485,0,21,1,2,0,2066,0,0,2050
0,4,372,0,0,0,2,1,281,0,0,327
0,4,656,0,2,0,1,0,185,0,0,11
12,132,5723,0,101,1,24,204,5718,2,46,1479
0,0,34,0,10,0,0,0,148,0,0,7
18,641,9105,0,117,3,61,189,6949,3,0,1083
0,1,217,0,1,0,0,4,193,0,0,96
1,29,7080,0,85,22,22,74,6180,1,355,4715
0,21,918,0,8,2,9,60,840,0,95,669
0,3,146,0,9,0,4,2,73,0,0,101
2,25,1288,0,2,1,21,92,1236,8,0,81
27,476,12581,0,174,10,25,481,10210,5,0,6758
1,31,172,0,3,1,9,19,622,0,0,10
3,25,2949,0,0,0,2,21,2120,0,0,199
1,82,11528,0,20,7,22,69,5087,7,0,3210
1,80,3264,0,81,1,4,72,3993,9,13,2752
0,45,548,0,6,0,2,22,590,0,0,40
2,13,1545,0,12,2,6,42,2695,1,43,1657
1,28,1447,0,8,0,7,14,1068,0,0,117
1,20,724,0,0,0,0,3,490,0,13,108
1,78,29696,0,117,10,11,89,13564,3,1,7610
1,17,7517,0,37,11,3,16,5281,0,39,374
0,12,218,0,16,1,15,19,443,0,0,116
1,27,1745,0,60,0,6,142,1252,3,0,1165
26,1182,42049,0,502,118,120,467,17411,106,1,8929
17,28,3505,0,45,17,30,27,1877,5,0,3351
0,30,1388,0,43,1,13,95,2397,0,0,148
1,20,1369,0,30,1,16,65,1577,10,0,228
2,0,160,0,0,0,2,1,288,2,0,18
1,11,996,0,31,2,3,14,1746,0,45,208
2,4,518,0,9,0,7,2,322,0,0,237
1,2,459,0,6,1,3,3,306,0,16,67
4,12,2712,0,49,23,7,38,1792,1,88,2172
0,24,2900,0,12,1,3,8,3204,2,0,4367
2,1,92,0,2,0,5,0,49,0,0,137
82,1970,63312,0,1018,18,213,209,32026,53,20,35436
1,5,484,0,3,0,1,15,436,1,0,64
2,45,2018,0,12,1,9,47,1195,0,8,299
2,9,1200,0,9,0,12,58,1167,3,0,1269
0,206,1723,0,15,0,6,7,1191,0,0,48
2,30,3127,0,49,13,12,40,3044,2,45,230
0,108,1251,0,15,0,12,104,829,0,0,206
6,224,14914,0,74,4,58,105,9280,45,94,10746
2,0,76,0,1,1,3,3,264,0,0,123
2,117,5126,0,59,3,14,164,8090,0,28,279
0,26,430,0,22,0,3,121,560,0,0,110
2020,5369,196399,2,2274,493,3261,649,73227,510,130,50547
1,61,3811,0,37,2,5,30,2865,4,166,4700
0,4,1202,0,12,0,4,12,1514,1,0,2350
0,16,947,0,25,1,2,3,1092,1,0,226
0,15,711,0,7,0,4,1,403,3,5,344
7,86,3807,0,139,10,12,64,4640,2,9,574
4,25,5130,0,17,2,15,20,5432,1,17,4932
28,125,10663,0,138,12,87,90,8396,35,32,9232
0,82,2358,0,18,2,22,52,1503,6,0,551
0,0,79,0,1,0,0,1,165,0,2,100
1,58,2766,0,14,4,23,0,3533,0,0,147
1,46,369,0,0,0,8,3,427,0,0,22
1,3,241,0,0,0,0,1,121,0,0,15
0,144,3857,0,46,1,6,80,4836,0,0,1940
0,0,183,0,0,0,3,0,430,0,0,18
0,0,1448,0,0,0,3,0,1109,0,0,234
0,0,10,0,0,0,0,0,27,0,0,2
1,0,52,0,0,0,2,0,70,0,0,6
1,8,128,0,0,0,0,0,55,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0
0,0,160,0,0,1,0,0,78,0,0,5
0,0,190,0,1,0,2,0,171,1,0,150
0,2,157,0,0,1,0,3,60,0,0,130
0,16,1555,0,4,4,3,23,1269,0,2,1069
0,0,0,0,0,0,0,0,2,0,0,0
3,0,3319,1,0,25,5,1,2759,0,0,18
